,office,ts_id
82,LRL,Green.Flow-Outflow.Inst.0.0.lrldlb-comp
83,LRL,Green.Flow-Outflow.Inst.1Hour.0.LRL-cavi-fct
84,LRL,Green.Flow-Outflow.Inst.1Hour.0.National-CWMS-Forecast
85,LRL,Green.Flow-Outflow.Inst.1Hour.0.lrldlb-comp
86,LRL,Green.Flow-Outflow.Inst.~1Day.0.LRL-cavi-fct
87,LRL,Green.Opening-BP1.Inst.0.0.lrldlb-fct
88,LRL,Green.Opening-BP1.Inst.0.0.lrldlb-raw
89,LRL,Green.Opening-BP1.Inst.0.0.lrldlb-rev
90,LRL,Green.Opening-BP1.Inst.0.0.radar-test
91,LRL,Green.Opening-BP1.Inst.1Hour.0.lrldlb-comp
92,LRL,Green.Opening-BP2.Inst.0.0.lrldlb-fct
93,LRL,Green.Opening-BP2.Inst.0.0.lrldlb-raw
94,LRL,Green.Opening-BP2.Inst.0.0.lrldlb-rev
95,LRL,Green.Opening-BP2.Inst.0.0.radar-test
96,LRL,Green.Opening-BP2.Inst.1Hour.0.lrldlb-comp
97,LRL,Green.Opening-L1.Inst.0.0.lrldlb-fct
98,LRL,Green.Opening-L1.Inst.0.0.lrldlb-raw
99,LRL,Green.Opening-L1.Inst.0.0.lrldlb-rev
100,LRL,Green.Opening-L1.Inst.0.0.radar-test
101,LRL,Green.Opening-L1.Inst.1Hour.0.lrldlb-comp
102,LRL,Green.Opening-L2.Inst.0.0.lrldlb-fct
103,LRL,Green.Opening-L2.Inst.0.0.lrldlb-raw
104,LRL,Green.Opening-L2.Inst.0.0.lrldlb-rev
105,LRL,Green.Opening-L2.Inst.0.0.radar-test
106,LRL,Green.Opening-L2.Inst.1Hour.0.lrldlb-comp
107,LRL,Green.Opening-MG1.Inst.0.0.lrldlb-fct
108,LRL,Green.Opening-MG1.Inst.0.0.lrldlb-raw
109,LRL,Green.Opening-MG1.Inst.0.0.lrldlb-rev
110,LRL,Green.Opening-MG1.Inst.0.0.radar-test
111,LRL,Green.Opening-MG1.Inst.1Hour.0.lrldlb-comp
112,LRL,Green.Opening-MG2.Inst.0.0.lrldlb-raw
113,LRL,Green.Opening-MG2.Inst.0.0.lrldlb-rev
114,LRL,Green.Opening-MG2.Inst.1Hour.0.lrldlb-comp
115,LRL,Green.Precip-Loss.Inst.1Hour.0.National-CWMS-Forecast
116,LRL,Green.Precip.Inst.15Minutes.0.LRGS-raw
117,LRL,Green.Precip.Inst.1Hour.0.National-CWMS-Forecast
118,LRL,Green.Precip.Total.1Hour.1Hour.Openweather
119,LRL,Green.Precip.Total.~1Day.1Day.lrldlb-raw
120,LRL,Green.Precip.Total.~1Day.1Day.lrldlb-rev
121,LRL,Green.Precip.Total.~1Day.1Day.radar-test
122,LRL,Green.Stage-Tailwater.Inst.0.0.lrldlb-raw
123,LRL,Green.Stage-Tailwater.Inst.0.0.radar-test
124,LRL,Green.Stage.Inst.15Minutes.0.LRGS-raw
125,LRL,Green.Stage.Inst.15Minutes.0.LRGS-rev
126,LRL,Green.Stor.Inst.1Hour.0.lrldlb-comp
127,LRL,Green.Temp-Air.Inst.1Hour.0.Openweather
128,LRL,Green.Temp-Air.Inst.~1Day.0.lrldlb-raw
129,LRL,Green.Temp-Air.Inst.~1Day.0.radar-test
130,LRL,Green.Temp-Air.Max.~1Day.1Day.lrldlb-raw
131,LRL,Green.Temp-Air.Max.~1Day.1Day.radar-test
132,LRL,Green.Temp-Air.Min.~1Day.1Day.lrldlb-raw
