office,ts_id
LRL,Greensburg.Stage.Inst.~1Day.0.radar-test
LRL,Catawba.Flow.Inst.15Minutes.0.LRGS-comp
LRL,Catawba.Flow.Inst.15Minutes.0.USGS-raw
LRL,Catawba.Flow.Inst.15Minutes.0.USGS-rev
LRL,Catawba.Flow.Inst.~1Day.0.LRL-cavi-fct
LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Catawba.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Catawba.Stage.Inst.15Minutes.0.USGS-raw
LRL,Catawba.Stage.Inst.15Minutes.0.USGS-rev
LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-raw
LRL,Catawba.Stage.Inst.~1Day.0.lrldlb-rev
LRL,Buckhorn-Lake.Elev.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.LRGS-raw
LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.LRGS-rev
LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.USGS-raw
LRL,Buckhorn-Lake.Elev.Inst.5Minutes.0.USGS-rev
LRL,Buckhorn-Lake.Stage.Inst.15Minutes.0.LRGS-raw
LRL,Buckhorn-Lake.Stage.Inst.15Minutes.0.LRGS-rev
LRL,Buckhorn-Lake.Stage.Inst.5Minutes.0.USGS-raw
LRL,Buckhorn-Lake.Stage.Inst.5Minutes.0.USGS-rev
LRL,TaylorsvilleOH.Elev.Inst.15Minutes.0.USGS-comp
LRL,TaylorsvilleOH.Flow.Inst.15Minutes.0.USGS-raw
LRL,TaylorsvilleOH.Flow.Inst.15Minutes.0.USGS-rev
LRL,TaylorsvilleOH.Stage.Inst.15Minutes.0.USGS-raw
LRL,TaylorsvilleOH.Stage.Inst.15Minutes.0.USGS-rev
LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-0hrQPF
LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-48hrQPF
LRL,DUNK2S.Flow.Inst.6Hours.0.OHRFC-operQPF
LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-0hrQPF
LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-48hrQPF
LRL,BKVI3.Flow-Local.Inst.6Hours.0.OHRFC-operQPF
LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-0hrQPF
LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-48hrQPF
LRL,BKVI3.Flow-ResIn.Inst.6Hours.0.OHRFC-operQPF
LRL,Olmsted-HW.Stage.Inst.15Minutes.0.USGS-raw
LRL,Olmsted-HW.Stage.Inst.15Minutes.0.USGS-rev
LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-0hrQPF
LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-48hrQPF
LRL,ALVK2.Flow-Local.Inst.6Hours.0.OHRFC-operQPF
LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-0hrQPF
LRL,ALVK2.Flow.Inst.6Hours.0.OHRFC-48hrQPF
