office,name,kind,unit,nation,active,aliases,nearest-city,time-zone,latitude,longitude,horizontal-datum,elevation,vertical-datum,state,county,bounding-office,map-label,public-name,long-name,type,published-latitude,published-longitude,description
LRL,Olmsted,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03612600'}]",Presque Isle,America/Chicago,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,
LRL,Taylorsville,PROJECT,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03295890'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY00051'}]","Taylorsville, KY",US/Eastern,38.003568,-85.3065171,NAD27,142.29588,NGVD29,KY,Spencer,LRL,Taylorsville Lake,Taylorsville Lake,Taylorsville Lake,Corps Reservoir,,,
LRL,Dundee-DUNK2L,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03319000-DUNK2L'}]","Narrows, KY",US/Central,37.5475514,-86.7216546,NAD83,393.18,NGVD29,KY,Ohio,LRL,,,,,,,
LRL,HorseBranch-DUNK2S,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03318800-DUNK2S'}]",,,,,,,,,,,,,,,,,
LRL,BowlingGreenKY,SITE,ft,,True,"[{'name': 'Agency Aliases-DCP Platform ID', 'value': 'CE774640'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '03314500'}]",,US/Central,37.002819444444,-86.432766666667,,409.83,NGVD29,KY,Warren,,,"BARREN RIVER AT BOWLING GREEN, K","BARREN RIVER AT BOWLING GREEN, KY",,,,
LRL,DUNK2,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
LRL,Olmsted-TW,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03612600-TW'}]",Presque Isle,Unknown or Not Applicable,0.0,0.0,,0.0,,00,Unknown County or County N/A for Unknown State or State N/A,,,Olmsted Tailwater,,,-3.4028234663852886e+38,-3.4028234663852886e+38,
LRL,ALVK2S,SITE,m,United States,True,[],,,,,,,,,,,,,,,,,
LRL,Taylorsville-BRCK2L,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03295890-BRCK2L'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY00051-BRCK2L'}]","Taylorsville, KY",US/Eastern,38.003568,-85.3065171,NAD27,142.29588,NGVD29,KY,Spencer,LRL,Taylorsville Lake,,,,,,
LRL,OlmstedUpr,SITE,m,United States,True,[],"Olmsted, IL",US/Central,37.183424262929,-89.063253433899,NAD83,84.86851200000001,NGVD29,KY,Ballard,LRL,Olmsted Dam Upper Gage,OHIO RIVER AT OLMSTED,OHIO RIVER AT OLMSTED,Stream Gauge,,,
LRL,Taylorsville-TAYO1,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03295890-TAYO1'}, {'name': 'Agency Aliases-NIDID', 'value': 'KY00051-TAYO1'}]","Vandalia, OH",US/Eastern,39.8728351,-84.164107,NAD83,760.11,NGVD29,OH,Montgomery,LRL,Taylorsville Dam,Great Miami River at Taylorsvill,Great Miami River at Taylorsville OH,Stream Gauge,,,
LRL,BowlingGreenIN,SITE,m,,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03360000'}, {'name': 'Agency Aliases-DCP Platform ID', 'value': 'CE77835E'}]",,US/Eastern,39.382819444444,-87.020566666667,,167.036496,NGVD29,IN,Clay,,,"EEL RIVER AT BOWLING GREEN, IN","EEL RIVER AT BOWLING GREEN, IN",Stream Gauge,,,
LRL,Newburghwq,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
LRL,GreenMouth,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
LRL,Kentucky,SITE,m,United States,True,[],,,,,,,,,,,,,,,,,
LRL,Cincinnati,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03255000'}]","Covington, KY",US/Eastern,39.0945044,-84.5104983,NAD27,428.87999999999994,NGVD29,OH,Hamilton,LRL,Ohio River at Cincinnati,"OHIO RIVER AT CINCINNATI, OH","OHIO RIVER AT CINCINNATI, OH",Stream Gauge,,,
LRL,Newburgh-NBGI3,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03304300-NBGI3'}]","Newburgh, IN",Unknown or Not Applicable,37.934301333332,-87.379384665112,NAD83,100.434648,NGVD29,00,Unknown County or County N/A for Unknown State or State N/A,LRL,Newburgh Locks and Dam TW,,,,,,
LRL,Olmsted-OLMI2,SITE,m,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03612600-OLMI2'}]",Presque Isle,America/Chicago,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,
LRL,Greensburg-GNSK2L,SITE,ft,United States,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '03306500-GNSK2L'}]","Greensburg, KY",US/Central,37.2536713,-85.5030215,NAD83,531.81,NGVD29,KY,Green,LRL,,,,,,,
LRL,Barkley,SITE,ft,United States,True,[],,,,,,,,,,,,,,,,,
