office,name,nearest-city,public-name,kind,time-zone,latitude,longitude,unit,nation,state,county,bounding-office,active,aliases,long-name,map-label,type,published-latitude,published-longitude,horizontal-datum,elevation,vertical-datum,description
MVP,Baldhill_Dam-EmergencySpillway,Jamestown,Baldhill Dam Emergency Spillway,SITE,US/Central,47.0346415,-98.0788482,ft,United States,ND,Barnes,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'BLDN8-EmergencySpillway'}, {'name': 'Agency Aliases-NIDID', 'value': 'ND00309-EmergencySpillway'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05057500-EmergencySpillway'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'Baldhill_Dam-EmergencySpillway'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'Baldhill_Dam-EmergencySpillway'}]",,Baldhill Dam Emergency Spillway,,,,NAD83,0.0,NGVD29,
MVP,MissHW_Gull-StopLog01,Brainerd,Gull Stop Log 01,OUTLET,US/Central,46.4116,-94.3533,m,United States,MN,Cass,MVP,True,"[{'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'GLLM5-StopLog01'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'MissHW_Gull-StopLog01'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'MissHW_Gull-StopLog01'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00596-StopLog01'}]",,Gull Lake Dam,,,,NAD83,335.28,NGVD29,
MVP,LockDam_05-TainterGate20,Winona,Lock and Dam 05 Tainter Gate 20,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate20'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate20'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate20'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate20'}]",Mississippi River Lock and Dam 05 Tainter Gate 20,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_02-Spillway,Hastings,Lock and Dam 02 Spillway,SITE,US/Central,44.7599,-92.8683,ft,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00594-Spillway'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-Spillway'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-Spillway'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-Spillway'}]",,Mississippi River Lock and Dam 02,,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,LockDam_05-TainterGate22,Winona,Lock and Dam 05 Tainter Gate 22,OUTLET,US/Central,44.1616,-91.8116,ft,United States,WI,Buffalo,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00589-TainterGate22'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'MSCM5-TainterGate22'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_05-TainterGate22'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_05-TainterGate22'}]",Mississippi River Lock and Dam 05 Tainter Gate 22,Mississippi River Lock and Dam 05 Gate,Gate,0.0,0.0,NAD83,599.9999999999999,NAVD88,
MVP,NWUM5,New Ulm,Cottonwood River at New Ulm,SITE,US/Central,44.2914,-94.44,m,United States,MN,Brown,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'NWUM5'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'NWUM5'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05317000'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'NWUM5'}]",Cottonwood River at New Ulm. MN,,DCP Gage,,,,242.87378400000003,LOCAL,
MVP,NWUM5S,New Ulm,New Ulm Snow,SITE,US/Central,44.32111,-94.43889,m,United States,MN,Brown,MVP,True,"[{'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'NWUM5S'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'NWUM5S'}]",New Ulm Snow,New Ulm Snow,,,,,,,
MVP,LockDam_02-TainterGate12,Hastings,Lock and Dam 02 Tainter Gate 12,OUTLET,US/Central,44.7599,-92.8683,m,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-NIDID', 'value': 'MN00594-TainterGate12'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-TainterGate12'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-TainterGate12'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-TainterGate12'}]",,Mississippi River Lock and Dam 02,,0.0,0.0,NAD83,182.88,NAVD88,
MVP,TraverseWR_Dam-Tailwater,Fergus Falls,White Rock Dam Tailwater,SITE,US/Central,45.8616,-96.5716,ft,United States,MN,Traverse,MVP,True,"[{'name': 'Agency Aliases-USGS Station Number', 'value': '05050000'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'WHRM5-Tailwater'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00577-Tailwater'}, {'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'TraverseWR_Dam-Tailwater'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'TraverseWR_Dam-Tailwater'}, {'name': 'Agency Aliases-USGS Station Number', 'value': '05049995-Tailwater'}]",White Rock Dam Tailwater,White Rock Dam Tailwater,,,,NAD83,899.9999999999999,LOCAL,
MVP,LockDam_02-TainterGate14,Hastings,Lock and Dam 02 Tainter Gate 14,OUTLET,US/Central,44.7599,-92.8683,m,United States,MN,Dakota,MVP,True,"[{'name': 'Agency Aliases-CWMS Legacy Naming', 'value': 'LockDam_02-TainterGate14'}, {'name': 'Agency Aliases-NIDID', 'value': 'MN00594-TainterGate14'}, {'name': 'Agency Aliases-NWS Handbook 5 ID', 'value': 'HSTM5-TainterGate14'}, {'name': 'Agency Aliases-CWMS Standard Naming', 'value': 'LockDam_02-TainterGate14'}]",,Mississippi River Lock and Dam 02,,0.0,0.0,NAD83,182.88,NAVD88,
